Record_ID,Date,Time,Junction_ID,Vehicle_ID,Vehicle_Type,Direction,Lane,Signal_State,Signal_Duration,Waiting_Time,Vehicle_Speed,Speed_Limit,Helmet,Seat_Belt,Stop_Line_Crossed,Lane_Compliance,Phone_Usage,U_Turn,U_Turn_Allowed,Overloading,Violation,Violation_Type,Fine_Amount,Accident,Weather,Road_Condition,Traffic_Density
R006382,2026-05-31,10:25:58,J002,TN09-9690-P01149,Car,East,4.0,Green,166,17.0,41.1,60,,Yes,No,Yes,No,No,No,No,No,,0,No,Clear,Good,79.2
R019075,2026-03-08,17:31:16,J015,MH14-3442-B00034,car,East,2.0,Red,172,69.2,29.7,40,,No,No,Yes,No,No,Yes,No,Yes,No Seat Belt,1000,No,Rain,Good,70.7
R025818,2026-05-24,15:49:42,J002,MH14-7366-E04864, Truck,North,2.0,Green,166,1.6,34.1,60,,Yes,No,Yes,No,No,No,Yes,Yes,Overloading,2000,No,Clear,Good,36.6
R016970,2026-03-08,23:33:41,J002,TN09-1272-M01416,Bike,West,1.0,Green,166,0.0,38.9,60,Yes,,No,Yes,No,No,Yes,No,No,,0,No,Clear,Good,24.7
R014166,2026-04-09,06:35:28,J002,TN09-8859-R00492,Auto,West,1.0,Green,166,1.4,33.4,60,,,No,Yes,No,No,Yes,No,No,,0,No,Clear,Good,14.5
R024183,11 Jun 2026,04:53:59,J004,MH12-2846-M03396,Auto,South,2.0,Green,169,8.7,9.1,40,,,No,Yes,No,No,No,No,No,,0,No,Fog,Poor,33.7
R019157,2026-05-07,07:02:24,J005,MH14-4805-K01829,Bike,South,2.0,Yellow,103,0.0,24.2,50,No,,No,Yes,No,No,Yes,No,Yes,No Helmet,500,No,Clear,Average,12.5
R023373,2026-03-21,19:46:05,J012,KA05-1045-P03582,Bike,South,2.0,Red,143,73.4,45.4,40,No,,Yes,Yes,No,No,Yes,No,Yes,Over Speeding,2000,No,Clear,Average,79.1
R022397,2026-04-18,20:00:33,J005,MH20-4717-A04110,Bike,East,3.0,Green,103,7.3,74.3,50,Yes,,No,Yes,No,No,No,No,Yes,Over Speeding,2000,Yes,Clear,Average,59.3
R024475,2026-06-09,15:14:47,J014,GJ01-4940-A04295,Bike,South,2.0,Red,145,65.0,40.3,40,Yes,,No,Yes,No,No,Yes,No,Yes,Over Speeding,2000,No,Cloudy,Good,53.2
R009845,2026-06-08,07:53:44,J010,DL08-1271-Q01682,Auto,North,3.0,Red,176,58.3,42.7,60,,,No,Yes,No,No,Yes,No,No,,0,No,Rain,Average,22.7
R019771,2026-07-04,23:31:27,J013,MH14-7139-C05492,Bike,West,2.0,Green,98,8.7,44.8,40,No,,No,Yes,No,No,Yes,No,Yes,Over Speeding,2000,No,Cloudy,Good,42.3
R020592,16 Jul 2026,18:36:17,J013,KA05-7874-Q01850,Taxi,North,2.0,Green,98,16.5,35.8,40,,Yes,No,Yes,No,No,Yes,No,No,,0,No,Rain,Good,94.0
R024921,30-05-2026,16:52:13,J009,UP32-6830-N03077,Bike,North,2.0,Red,127,46.9,30.2,40,Yes,,No,Yes,No,Yes,Yes,No,No,,0,No,Cloudy,Good,35.4
R006022,2026-04-06,08:08:00,J010,DL08-1661-E05125,Car,North,3.0,Red,176,75.1,33.8,60,,Yes,No,Yes,No,No,No,No,No,,0,No,Clear,Average,76.1
R015753,2026-06-11,09:45:30,J007,UP32-1400-E05936,Truck,South,2.0,Red,74,54.0,40.8,60,,Yes,No,Yes,Yes,No,No,No,Yes,Mobile Phone Usage,1500,No,Rain,Average,82.2
R019354,2026-03-06,07:31:43,J009,TN09-9459-A01917,Taxi,North,2.0,Green,127,5.9,16.1,40,,Yes,No,Yes,No,Yes,Yes,No,No,,0,No,Clear,Good,28.0
R007990,2026-04-29,19:47:14,J014,UP32-3969-N00598,Bike,South,,Red,145,70.7,38.1,40,Yes,,No,Yes,No,No,No,No,No,,0,No,Clear,Good,86.6
R006395,2026-06-18,08:49:42,J003,MH14-3413-Q01681,Auto,West,1.0,Green,152,10.5,42.4,60,,,No,Yes,No,No,Yes,No,No,,0,No,Clear,Average,83.1
R007547,2026-04-11,20:11:07,J001,TN09-2447-K04514,Car,South,1.0,Red,136,47.5,42.3,60,,Yes,No,Yes,No,No,Yes,No,No,,0,No,Clear,Good,67.1
R014838,2026-03-24,22:04:52,J001,MH20-3393-H03183,Bus,East,2.0,Green,136,5.3,48.3,60,,Yes,No,Yes,No,No,No,No,No,,0,No,Clear,Good,41.8
R002680,2026-07-08,18:38:47,J004,MH20-9698-G03080,Truck,West,2.0,Red,169,87.6,27.8,40,,Yes,No,Yes,No,No,Yes,No,No,,0,No,Cloudy,Poor,87.8
R011973,2026-07-03,07:58:21,J010,UP32-5014-P04879,Truck,North,3.0,Green,176,0.0,30.4,60,,Yes,No,Yes,Yes,No,No,No,Yes,Mobile Phone Usage,1500,No,Rain,Average,16.1
R002627,2026-04-27,11:27:58,J011,DL08-4087-D01055,Car,East,4.0,Green,157,8.6,44.0,60,,Yes,No,Yes,No,No,No,No,No,,0,No,Clear,Good,62.7
R012036,2026-04-07,09:01:55,J006,KA05-7397-C05352,Bike,South,2.0,Yellow,98,13.6,66.7,60,Yes,,No,Yes,No,No,No,No,Yes,Over Speeding,2000,No,Clear,Average,79.5
R019044,2026-07-03,12:39:56 PM,J004,KA05-9893-F02188,Taxi,North,1.0,Green,169,8.2,24.0,40,,No,No,Yes,No,No,No,No,Yes,No Seat Belt,1000,No,Cloudy,Poor,52.3
R020861,2026-02-22,09:56:37,J002,GJ01-4476-N01143,Taxi,North,1.0,Red,166,78.6,64.7,60,,Yes,No,Yes,No,No,Yes,No,Yes,Over Speeding,2000,No,,Good,47.0
R007947,2026-05-20,05:57:53,J007,MH20-8548-J01590,Car,West,1.0,Red,74,44.8,51.1,60,,Yes,No,Yes,No,No,Yes,No,No,,0,No,Cloudy,Average,16.4
R005940,2026-04-28,19:53:22,J002,KA05-7689-D00153,Bike,South,4.0,Green,166,14.6,34.8,60,Yes,,No,Yes,No,No,No,No,No,,0,No,Clear,Good,89.1
R002724,2026-06-25,8:16:40 AM,J015,TN09-9904-D02375,Auto,West,3.0,Red,172,86.5,74.3,40,,,No,Yes,No,No,No,No,Yes,Over Speeding,2000,No,Clear,Good,76.2
R003368,2026-02-19,06:52:40,J010,KA05-7571-P02487,Bike,East,2.0,Red,176,54.7,43.1,60,Yes,,No,Yes,No,No,Yes,No,No,,0,No,Clear,Average,13.3
R011344,2026-02-04,10:29:58,J011,MH14-9328-J05909,Car,East,4.0,Green,157,8.6,39.5,60,,Yes,No,Yes,No,No,Yes,No,No,,0,No,Fog,Good,73.6
R023712,2026-02-13,16:47:03,J013,UP32-7348-P03779,Bike,North,2.0,Green,98,6.6,24.8,40,Yes,,No,Yes,No,Yes,No,No,Yes,Illegal U-Turn,500,No,Cloudy,Good,49.6
R008251,2026-02-04,14:42:59,J006,KA05-3926-F01988,Car,South,5.0,Green,98,13.0,42.7,60,,Yes,No,Yes,No,No,No,No,No,,0,No,Clear,Average,73.9
R017377,2026-02-19,16:14:33,J002,KA05-4727-C00133,Auto,South,4.0,Red,166,64.2,88.9,60,,,No,Yes,No,No,No,No,Yes,Over Speeding,2000,No,Cloudy,Good,47.4
R014883,2026-05-14,11:48:07,J006,TN09-3911-K05673,Bike ,West,5.0,Red,98,39.3,45.8,60,No,,No,Yes,No,No,No,No,Yes,No Helmet,500,No,Clear,Average,56.3
R004523,2026-07-20,18:33:53,J009,DL08-3228-J02989,Bike,South,3.0,Red,127,68.4,34.5,40,Yes,,Yes,No,No,No,No,No,Yes,Red Light Jumping,1000,No,Clear,Good,89.7
R005688,2026-04-30,17:12:56,J009,MH20-3446-B05621,Car,North,1.0,Red,127,52.4,15.2,40,,,No,Yes,No,No,No,No,No,,0,No,Clear,Good,95.1
R021555,2026-05-17,17:02:31,J001,DL08-1973-B04455,Auto,South,4.0,Green,136,6.9,37.5,60,,,No,Yes,Yes,Yes,No,Yes,Yes,Mobile Phone Usage,1500,No,Clear,Good,61.2
R008585,2026-05-16,04:17:24,J004,KA05-1993-L01251,Taxi,East,2.0,Red,169,59.4,33.3,40,,Yes,No,Yes,No,No,No,No,No,,0,No,Cloudy,Poor,9.8
R014016,2026-05-01,17:43:51,J008,MH14-5907-H03607,Car,East,3.0,Red,127,67.8,58.0,80,,Yes,No,No,No,No,No,No,Yes,Wrong Lane,500,No,Clear,Average,79.0
R005001,10-03-2026,08:40:22,J012,MH14-1033-E04045,CAR,East,1.0,Red,143,56.7,39.9,40,,Yes,No,Yes,No,No,No,No,No,,0,No,Clear,Average,73.2
R025742,2026-02-03,16:39:19,J010,DL08-9441-E05493,Truck,North,5.0,Green,176,11.8,55.8,60,,Yes,No,Yes,No,No,No,No,No,,0,No,Clear,Average,66.7
R003176,2026-02-24,16:07:28,J008,MH14-6398-C02023,Car,North,3.0,Red,127,62.1,110.4,80,,Yes,No,Yes,No,No,Yes,No,Yes,Over Speeding,2000,No,Clear,Average,64.0
R004943,2026-03-03,06:39:43,J014,KA05-5129-E00932,Car,East,1.0,Green,145,0.0,27.7,40,,Yes,No,Yes,No,No,Yes,No,No,,0,No,Clear,Good,2.0
R010738,01-05-2026,19:36:46,J013,GJ01-1315-K02312,Auto,South,1.0,Green,98,6.2,47.7,40,,,No,Yes,No,No,Yes,No,Yes,Over Speeding,2000,No,Clear,Good,69.9
R007007,2026-03-21,15:57:21,J011,MH14-8813-K05811,Auto,South,4.0,Red,157,54.5,29.6,60,,,Yes,Yes,No,No,No,No,Yes,Red Light Jumping,1000,No,Rain,Good,39.3
R020715,2026-07-08,12:22:45,J004,UP32-8583-Q00668,Auto,West,1.0,Green,169,6.1,17.1,40,,,No,Yes,No,No,Yes,No,No,,0,No,Clear,Poor,46.3
R016040,04/01/2026,16:25:22,J008,DL08-1135-J03382,Car,North,1.0,Green,127,6.5,50.1,80,,Yes,No,Yes,No,No,Yes,No,No,,0,No,Clear,Average,73.6
R014054,2026-05-11,17:31:46,J014,GJ01-7225-G04126,Bike,North,1.0,Red,145,75.9,45.2,40,Yes,,No,Yes,No,No,Yes,No,Yes,Over Speeding,2000,No,Clear,Good,98.7
R013752,2026-06-23,18:47:03,J014,UP32-6605-H02925,Auto,East,2.0,Red,145,86.6,32.4,40,,,No,Yes,No,No,No,No,No,,0,No,Clear,Good,80.1
R003026,2026-05-13,19:20:53,J015,MH20-1725-H03877,Car,East,2.0,Green,172,12.4,44.8,40,,Yes,No,Yes,No,No,Yes,No,Yes,Over Speeding,2000,No,Fog,Good,95.5
R005952,11 May 2026,18:04:24,J001,MH14-4491-P04037,Bike,South,2.0,Green,136,17.1,32.7,60,Yes,,No,Yes,No,No,Yes,No,No,,0,No,Fog,Good,88.9
R009275,2026-06-14,21:47:42,J011,DL08-3826-G05723,Taxi,East,1.0,Green,157,8.2,47.0,60,,Yes,No,Yes,No,No,No,No,No,,0,No,Cloudy,Good,37.7
R010866,2026-07-24,18:22:28,J008,MH20-5430-B01529,Car,North,3.0,Green,127,12.9,48.3,80,,Yes,No,Yes,No,No,No,No,No,,0,No,Rain,Average,93.8
R024890,2026-06-21,10:15:36,J001,KA05-8370-G02575,Bike,South,4.0,Green,136,12.8,41.0,60,Yes,,No,Yes,No,No,No,No,No,,0,No,Clear,Good,53.7
R021800,2026-06-10,07:30:37,J001,MH12-1497-C02600,Auto,East,1.0,Red,136,24.6,47.3,60,,,No,Yes,No,No,Yes,No,No,,0,No,Cloudy,Good,3.5
R006179,2026-04-25,21:03:38,J005,TN09-1199-K01037,Bike,North,2.0,Red,103,42.8,28.3,50,Yes,,No,Yes,No,No,No,No,No,,0,No,Clear,Average,28.1
R006191,02-07-2026,06:07:36,J007,MH14-2981-N05344,Cab,East,4.0,Red,74,26.7,41.9,60,,Yes,No,Yes,No,No,No,No,No,,0,No,Clear,Average,13.9
R024178,2026-06-17,3:45:11 PM,J014,MH12-9456-C03443,Bike,North,2.0,Red,145,57.5,19.3,40,,,No,Yes,No,No,No,No,No,,0,No,Clear,Good,57.1
R004528,2026-02-05,19:52:38,J014,DL08-6710-K02398,Truck,South,2.0,Red,145,91.4,21.3,40,,Yes,No,Yes,No,No,No,No,No,,0,No,Rain,Good,77.0
R025211,2026-06-20,23:23:15,J010,MH12-4394-E00368,Truck,South,2.0,Green,176,4.6,36.0,60,,Yes,No,Yes,No,No,Yes,No,No,,0,No,Rain,,26.7
R022626,2026-03-16,17:15:04,J007,MH14-4022-M04806,Bike,South,1.0,Red,74,52.0,52.3,60,Yes,,No,Yes,No,No,Yes,No,No,,0,No,Clear,Average,80.1
R007768,2026-04-12,12:48:03,J001,KA05-8202-A03314,Bike,West,4.0,Green,136,4.0,46.7,60,Yes,,No,Yes,No,No,No,No,No,,0,No,Clear,Good,34.5
R003124,2026-05-14,14:47:24,J010,MH12-8897-A05444,Bike,North,5.0,Red,176,58.2,39.0,60,Yes,,No,Yes,No,No,Yes,No,No,,0,No,Clear,Average,53.5
R012666,2026-03-08,20:18:47,J014,UP32-9230-Q05722,Bike,East,1.0,Green,145,10.5,58.9,40,Yes,,No,Yes,No,No,No,No,Yes,Over Speeding,2000,No,Clear,Good,82.0
R001591,06/18/2026,17:43:43,J008,GJ01-9856-L00370,Car,East,5.0,Red,127,71.7,62.0,80,,No,No,Yes,No,No,No,No,Yes,No Seat Belt,1000,No,Clear,Average,69.3
R002280,2026-07-09,09:09:47,J009,DL08-6882-J01461,Taxi,North,2.0,Green,127,14.2,48.2,40,,Yes,No,Yes,No,No,Yes,No,Yes,Over Speeding,2000,No,Clear,Good,83.4
R022109,2026-05-22,16:09:59,J004,MH12-2330-B00265,Bus,North,1.0,Red,169,60.1,11.9,40,,Yes,Yes,Yes,No,No,No,No,Yes,Red Light Jumping,1000,No,Rain,Poor,40.5
R017233,2026-03-06,09:54:10,J014,MH12-6450-L01916,Two Wheeler,East,2.0,Red,145,61.7,5.0,40,No,,No,Yes,No,No,No,No,Yes,No Helmet,500,No,Clear,Good,80.5
R020059,2026-06-07,19:57:50,J014,MH14-9978-N03795,Car,South,2.0,Green,145,8.7,18.8,40,,Yes,No,Yes,No,No,No,No,No,,0,No,Clear,Good,66.7
R023121,2026-05-22,08:03:23,J014,GJ01-1457-A01361,Car,West,1.0,Green,145,9.1,27.1,40,,Yes,No,Yes,No,No,No,No,No,,0,No,Clear,Good,70.9
R000552,2026-04-21,07:27:44,J014,MH14-8027-L02891,CAR,South,1.0,Red,145,50.7,24.7,40,,Yes,No,Yes,Yes,No,Yes,No,Yes,Mobile Phone Usage,1500,No,Clear,Good,19.4
R020289,2026-06-22,09:18:38,J014,TN09-7412-N01439,Auto,West,1.0,Red,145,76.4,31.0,40,,,No,Yes,No,No,No,Yes,Yes,Overloading,2000,No,Cloudy,Good,81.9
R008434,2026-05-31,17:10:57,J008,MH12-8428-N01288,Truck,East,4.0,Red,127,54.3,56.9,80,,Yes,No,Yes,No,No,Yes,Yes,Yes,Overloading,2000,No,Clear,Average,65.4
R008852,2026-07-13,08:24:28,J011,UP32-9586-F00206,Auto,West,4.0,Green,157,12.3,24.1,60,,,No,Yes,No,No,No,No,No,,0,No,Cloudy,Good,60.0
R021623,2026-02-26,10:32:35,J003,MH14-7114-A01048,Bike,North,3.0,Green,152,14.7,46.4,60,Yes,,No,Yes,No,No,Yes,No,No,,0,No,Clear,Average,75.6
R011694,2026-07-25,19:20:22,J010,TN09-6597-G01262,Auto,East,5.0,Red,176,69.1,49.5,60,,,No,Yes,No,No,No,No,No,,0,No,Fog,Average,60.8
R000626,2026-02-22,1:58:09 PM,J010,MH12-9199-K02666,Car,North,1.0,Green,176,10.0,28.1,60,,Yes,No,Yes,No,No,No,No,No,,0,No,Clear,Average,48.4
R024170,2026-03-11,17:55:14,J002,KA05-1170-N02199,Auto,South,3.0,Green,166,12.6,37.4,60,,,No,Yes,Yes,No,No,No,Yes,Mobile Phone Usage,1500,No,Clear,Good,90.7
R019299,2026-07-19,12:10:11,J014,TN09-1932-P02473,Auto,East,1.0,Red,145,62.7,25.9,40,,,No,Yes,No,No,No,No,No,,0,No,Clear,Good,48.3
R004782,2026-05-29,20:57:06,J012,GJ01-5066-E02665,Auto,East,3.0,Green,143,14.1,37.5,40,,,No,Yes,No,No,No,No,No,,0,No,Clear,Average,81.5
R001210,2026-06-03,05:41:24,J012,MH14-7187-J05017,Auto,East,3.0,Green,143,0.0,26.5,40,,,No,Yes,No,No,Yes,No,No,,0,No,Rain,Average,13.5
R019294,2026-04-13,4:41:07 PM,J011,DL08-2159-C05706,Bike,South,1.0,Green,157,9.8,42.4,60,Yes,,No,Yes,No,No,No,No,No,,0,No,Cloudy,Good,64.0
R000191,2026-05-03,21:34:54,J008,TN09-1905-F04319,Car,East,6.0,Yellow,127,4.4,62.8,80,,Yes,No,Yes,No,No,No,No,No,,0,No,Cloudy,Average,22.0
R001564,2026-07-10,19:57:43,J007,TN09-5179-K05194,Bus,East,3.0,Red,74,58.6,35.7,60,,Yes,No,Yes,No,No,No,No,No,,0,No,Clear,Average,76.2
R000810,2026-05-29,11:43:59,J009,MH14-3023-F01469,Car,East,3.0,Green,127,9.2,26.0,40,,Yes,No,Yes,No,No,Yes,No,No,,0,No,Rain,Good,72.8
R007102,2026-07-10,23:06:32,J014,MH12-4720-N02903,Bike,North,2.0,Green,145,5.6,34.2,40,,,No,Yes,No,No,No,No,No,,0,No,Fog,Good,23.0
R022694,2026-02-12,20:29:53,J002,DL08-1351-B01768,Truck,East,4.0,Red,166,90.5,38.6,60,,Yes,No,Yes,No,No,No,No,No,,0,No,Cloudy,Good,96.0
R008741,2026-03-17,20:37:46,J008,UP32-3110-C00485,Truck,East,4.0,Green,127,11.0,91.2,80,,Yes,No,Yes,No,No,Yes,No,Yes,Over Speeding,2000,No,Rain,Average,99.9
R023150,2026-07-12,13:36:03,J003,DL08-2833-D01114,Bus,West,3.0,Red,152,46.1,93.4,60,,Yes,No,Yes,No,No,Yes,No,Yes,Over Speeding,2000,No,Clear,Average,40.0
R013665,2026-03-21,14:10:29,J003,DL08-7755-F02152,Bike,North,4.0,Red,152,75.6,41.2,60,Yes,,No,Yes,No,No,No,No,No,,0,No,Clear,Average,53.8
R021944,2026-06-16,07:10:28,J012,MH12-8368-G00203,Bike,East,3.0,Green,143,0.0,25.7,40,Yes,,No,Yes,No,No,No,No,No,,0,No,Rain,Average,4.6
R003062,2026-07-06,08:49:54,J010,UP32-8550-F00353,Taxi,West,1.0,Red,176,91.9,51.9,60,,Yes,No,Yes,No,No,No,No,No,,0,No,Clear,Average,87.6
R005078,2026-06-03,07:02:00,J012,DL08-9570-J01274,Car,South,3.0,Green,143,5.5,16.7,40,,Yes,No,Yes,No,No,No,No,No,,0,No,Rain,Average,25.4
R005393,2026-05-12,07:09:33,J006,TN09-3641-E04360,Bike,North,3.0,Green,98,0.6,40.1,60,Yes,,No,Yes,No,No,No,No,No,,0,No,Clear,Average,14.4
R019437,2026-03-22,08:39:26,J003,MH20-7387-A04609,two-wheeler,West,1.0,Green,152,7.0,44.5,60,No,,No,Yes,No,No,No,No,Yes,No Helmet,500,No,Fog,Average,55.7
