Vehicle_ID,Vehicle_Type,Fuel_Type,Registration_Type
TN09-9005-A00001,Car,Petrol,Private
KA05-4923-B00002,Taxi,Petrol,Commercial
MH14-2403-R00003,Bike,Petrol,Commercial
MH20-3103-R00004,Bike,Electric,Private
GJ01-4470-G00005,Bike,Petrol,Private
TN09-8177-Q00006,Auto,Petrol,Commercial
TN09-1344-H00007,Car,Diesel,Private
MH12-4750-C00008,Auto,Electric,Commercial
MH14-9423-H00009,Truck,Diesel,Commercial
MH20-8744-H00010,Bike,Petrol,Private
MH14-8062-M00011,Car,Petrol,Private
MH14-1993-N00012,Auto,CNG,Commercial
MH14-5073-G00013,Bus,Diesel,Commercial
GJ01-4006-J00014,Bike,Petrol,Commercial
MH14-1828-A00015,Car,Electric,Commercial
MH20-7658-R00016,Bus,Diesel,Commercial
MH12-3697-N00017,Truck,Diesel,Commercial
UP32-5673-P00018,Bike,Petrol,Private
UP32-3536-G00019,Auto,Petrol,Commercial
MH12-6138-B00020,Taxi,Petrol,Commercial
MH20-1931-C00021,Bike,Electric,Private
DL08-7615-D00022,Car,Electric,Private
MH12-2343-P00023,Bike,Petrol,Private
KA05-4346-L00024,Car,Petrol,Private
KA05-8491-L00025,Auto,Electric,Commercial
MH12-8508-D00026,Taxi,Petrol,Commercial
KA05-3170-M00027,Car,CNG,Commercial
MH20-8179-K00028,Bike,Petrol,Commercial
MH12-5905-D00029,Bike,Electric,Private
MH14-3546-J00030,Car,Petrol,Private
KA05-9280-R00031,Bike,Petrol,Commercial
GJ01-5533-B00032,Car,Petrol,Private
KA05-3647-Q00033,Bike,Petrol,Private
MH14-3442-B00034,Car,CNG,Private
MH20-1685-K00035,Car,Petrol,Commercial
MH12-6862-G00036,Taxi,Diesel,Commercial
TN09-7658-E00037,Auto,Electric,Commercial
MH20-3900-P00038,Car,Petrol,Private
GJ01-5065-J00039,Car,Petrol,Private
MH12-8711-H00040,Bike,Petrol,Commercial
DL08-4652-A00041,Bike,Petrol,Private
MH14-5573-M00042,Car,Diesel,Private
TN09-1452-D00043,Taxi,CNG,Commercial
KA05-1626-D00044,Car,Diesel,Private
GJ01-9379-D00045,Auto,Petrol,Commercial
KA05-1727-P00046,Bike,Petrol,Commercial
DL08-6967-P00047,Bike,Petrol,Private
TN09-3041-K00048,Car,Diesel,Private
KA05-3085-G00049,Car,Petrol,Commercial
MH20-5930-N00050,Auto,Diesel,Commercial
KA05-4443-P00051,Car,CNG,Private
UP32-8244-G00052,Car,Diesel,Private
MH20-2389-K00053,Taxi,Diesel,Commercial
TN09-2530-H00054,Bike,Petrol,Private
MH12-1757-H00055,Car,Electric,Private
UP32-7790-G00056,Auto,CNG,Commercial
GJ01-4997-E00057,Bike,Petrol,Private
MH14-7965-H00058,Auto,Petrol,Commercial
UP32-1822-H00059,Taxi,Electric,Commercial
